molecule_chembl_id,pchembl_value,smiles,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
CHEMBL363058,8.89,CC(C)OC(=O)N1CCn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)C1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27B30>,469.175004216,7,1,3.216800000000001,yes
CHEMBL4162850,8.89,O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27BA0>,496.185903248,8,1,1.4864999999999993,yes
CHEMBL4521500,8.86,CC(=O)c1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCCc4ccccn4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27C10>,410.174275944,4,2,4.199600000000002,yes
CHEMBL1940979,8.85,C[C@H]1COc2c(NCCCc3ccccc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27C80>,392.164854132,6,2,3.5925800000000017,yes
CHEMBL4579826,8.85,CC(=O)c1ccc(-c2c[nH]c3ncc(/C=C/C(=O)NCc4ccncc4)cc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27CF0>,396.15862588,4,2,4.1571000000000025,yes
CHEMBL3719193,8.85,C[C@@H]1CN(c2ccccc2)CCN1c1nc(-c2ccncn2)cc(=O)n1C,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27D60>,362.185509324,7,0,1.9523999999999997,yes
CHEMBL4763408,8.85,CCC(CO)CNC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(OC)nc3)n[nH]2)C1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27DD0>,445.2325190920001,7,4,2.3753,yes
CHEMBL2203552,8.83,COc1cnc(-c2cnc3ccccc3c2)nc1-c1cc2c([nH]1)CCNC2=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27E40>,371.13822478400004,5,2,2.9814,yes
CHEMBL270473,8.82,Cc1cc(-c2cc(-c3nc4ccc(CN5CCN(C)CC5)cc4[nH]3)c(=O)[nH]n2)cc(C)c1O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27EB0>,444.22737413600004,6,3,3.0500400000000005,yes
CHEMBL2177156,8.82,Cc1cc(S(=O)(=O)N2CCN(C)CC2)c(C)cc1-c1cnc(N)c(C(=O)Nc2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27F20>,481.18960872400015,8,2,1.926039999999999,yes
CHEMBL4169204,8.8,CN(C)C1Cn2cc(C3=C(c4cnc5ccccn45)C(=O)NC3=O)c3cccc(c32)CN1C=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB27F90>,454.17533856399996,7,1,1.7158999999999998,yes
CHEMBL362588,8.8,O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05040>,494.206638692,6,1,3.277700000000001,yes
CHEMBL4071429,8.77,COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB050B0>,414.16158032000004,8,1,1.6749999999999996,yes
CHEMBL4104714,8.77,Cn1c(N2CCNC(c3ccc(Cl)cc3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05120>,382.13088690800004,7,1,2.0416,yes
CHEMBL4758192,8.76,Cc1ncc(CC(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)N4C[C@@H](C#N)[C@@H]4C)C3)[nH]n2)s1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05190>,428.16305962800004,7,2,2.9724000000000013,yes
CHEMBL54547,8.74,Cn1cc(C2=C(c3cccc(N)c3)C(=O)NC2=O)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05200>,317.11642672,4,2,2.3277,yes
CHEMBL4065624,8.74,COc1ccccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05270>,378.18042394400004,8,1,1.3967999999999996,yes
CHEMBL4085821,8.74,COc1ccccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB052E0>,377.18517497600004,7,1,2.0017999999999994,yes
CHEMBL1081973,8.74,Cn1cc(C2=C(c3cccc(CC(O)CO)c3)C(=O)NC2=O)c2cc(F)ccc21,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05350>,394.132885308,5,3,1.7802999999999995,yes
CHEMBL4744114,8.73,COc1ccc(CC(=O)Nc2cc([C@@H]3CC[C@H](OC(=O)N[C@H]4CC[C@H](O)CC4)C3)[nH]n2)cn1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB053C0>,457.2325190920001,7,4,2.6603000000000003,yes
CHEMBL1076701,8.72,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccc(Cl)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05430>,328.072703336,5,2,2.6506000000000007,yes
CHEMBL2386092,8.72,O=C1NC(=O)C(c2cn3c4c(cc(F)cc24)CN(C(=O)N2CCCCC2)CC3)=C1c1coc2ccccc12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB054A0>,512.1859835,5,1,4.515300000000003,yes
CHEMBL4172295,8.7,O=CN1Cc2cccc3c(C4=C(c5cnc6ccccn56)C(=O)NC4=O)cn(c23)CC1N1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05510>,494.206638692,7,1,2.6402,yes
CHEMBL233970,8.7,N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)c(C(F)(F)F)c3)o2)S1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05580>,417.00648246,6,3,2.7514700000000003,yes
CHEMBL4098458,8.7,COc1cc(F)cc(F)c1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB055F0>,413.16633135200004,7,1,2.2799999999999994,yes
CHEMBL4088777,8.7,Cn1c(N2CCNC(c3cccc(Br)c3)C2)nc(-c2ccncn2)cc1=O,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05660>,426.08037132800007,7,1,2.1506999999999996,yes
CHEMBL549953,8.7,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4Cl)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB056D0>,516.103432084,5,4,4.462100000000002,yes
CHEMBL5077814,8.7,C#Cc1ccc2c(c1)[nH]c1ncnc(N3CCC4CCN(CCC#N)CC43)c12,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05740>,370.19059470400003,5,1,2.9066800000000015,yes
CHEMBL1086602,8.7,CCN(CC)c1ccc(N/N=C2\C(=O)NN=C2c2ccc(OC)c(OC)c2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB057B0>,395.19573965999996,7,2,2.852000000000001,yes
CHEMBL1076721,8.7,COc1ccc(C2=NNC(=O)/C2=N\Nc2cccnc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05820>,295.10692465600005,6,2,1.3922,yes
CHEMBL1080849,8.7,COc1ccc(C2=NNC(=O)/C2=N\Nc2ccc(Cl)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05890>,328.072703336,5,2,2.6506000000000007,yes
CHEMBL2177159,8.7,COCCNS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3cccnc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05900>,428.1266741200001,8,3,1.297799999999999,yes
CHEMBL2048660,8.7,CCS(=O)(=O)Nc1ccc(CCNC(=O)c2ccnc3[nH]c(-c4ccc(F)cc4F)nc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05970>,485.1333169720001,5,3,3.6372000000000018,yes
CHEMBL1079966,8.7,COc1ccc(N/N=C2\C(=O)NN=C2c2cnccc2OC)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB059E0>,325.11748934,7,2,1.4008,yes
CHEMBL526110,8.7,O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05A50>,333.09742259200004,8,1,2.8381000000000007,yes
CHEMBL1081633,8.7,COc1ccc(N/N=C2\C(=O)NN=C2c2ccc(OC)cc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x0000025BBAB05AC0>,324.12224037199996,6,2,2.0058,yes
